Course Title,Course Author,Course Link
Single-Cell RNA-Seq with Bioconductor in R, Fanny Perraudeau, /courses/single-cell-rna-seq-with-bioconductor-in-r
Intermediate Spreadsheets, Richie Cotton, /courses/intermediate-spreadsheets
Image Processing with Keras in Python, Ariel Rokem, /courses/image-processing-with-keras-in-python
Linear Algebra for Data Science in R, Eric Eager, /courses/linear-algebra-for-data-science-in-r
Generalized Linear Models in R, Richard Erickson, /courses/generalized-linear-models-in-r
Writing Functions and Stored Procedures in SQL Server, Meghan Kwartler, /courses/writing-functions-and-stored-procedures-in-sql-server
Advanced NLP with spaCy, Ines Montani, /courses/advanced-nlp-with-spacy
Introduction to Spreadsheets, Vincent Vankrunkelsven, /courses/introduction-to-spreadsheets
Data Analysis in Spreadsheets, Vincent Vankrunkelsven, /courses/data-analysis-in-spreadsheets
Supply Chain Analytics in Python, Aaren Stubberfield, /courses/supply-chain-analytics-in-python
Fraud Detection in R, Bart Baesens, /courses/fraud-detection-in-r
Analyzing Social Media Data in Python, Alex Hanna, /courses/analyzing-social-media-data-in-python
GARCH Models in R, Kris Boudt, /courses/garch-models-in-r
Course Creation at DataCamp, Content Team, /courses/course-creation-at-datacamp
Longitudinal Analysis in R, DataCamp Content Creator, /courses/longitudinal-analysis-in-r
Working with the Class System in Python, Vicki Boykis, /courses/working-with-the-class-system-in-python
Fraud Detection in Python, Charlotte Werger, /courses/fraud-detection-in-python
Data Visualization in Spreadsheets, Raina Hawley, /courses/data-visualization-in-spreadsheets
Advanced Dimensionality Reduction in R, Federico Castanedo, /courses/advanced-dimensionality-reduction-in-r
Customer Segmentation in Python, Karolis Urbonas, /courses/customer-segmentation-in-python
Topic Modeling in R, Pavel Oleinikov, /courses/topic-modeling-in-r
Probability Puzzles in R, Peter Chi, /courses/probability-puzzles-in-r
Feature Engineering in R, Jose Hernandez, /courses/feature-engineering-in-r
Defensive R Programming, Colin Gillespie, /courses/defensive-r-programming
R For SAS Users, Melinda Higgins, /courses/r-for-sas-users
Intermediate Predictive Analytics in Python, Nele Verbiest, /courses/intermediate-predictive-analytics-in-python
Analyzing US Census Data in Python, Lee Hachadoorian, /courses/analyzing-us-census-data-in-python
Big Data Fundamentals with PySpark, Upendra Kumar Devisetty, /courses/big-data-fundamentals-with-pyspark
Dimensionality Reduction in Python, Jeroen Boeye, /courses/dimensionality-reduction-in-python
Working with Dates and Times in Python, Max Shron, /courses/working-with-dates-and-times-in-python
Designing Machine Learning Workflows in Python, Christoforos Anagnostopoulos, /courses/designing-machine-learning-workflows-in-python
Software Engineering for Data Scientists in Python, Adam Spannbauer, /courses/software-engineering-for-data-scientists-in-python
